firm_id,year,ntoken,short_hits,long_hits,ShortTerm,ShortTerm_A,ShortTerm_B,LongTerm,RD_intensity,Size,ROA,Lev,Age,Growth,Cash,true_intensity,source
F0005,2022,180,9,4,50.0,22.2222,27.7778,22.2222,11.6354,21.8272,0.1247,0.2494,16.0,0.2463,0.1242,45.016,demo_synthetic
F0005,2023,177,8,7,45.1977,5.6497,39.548,39.548,13.392,25.5398,0.019,0.7228,6.0,0.2767,0.0709,54.557,demo_synthetic
F0006,2019,182,8,5,43.956,21.978,21.978,27.4725,12.2009,23.0371,0.0464,0.6896,3.0,0.2009,-0.0185,49.621,demo_synthetic
F0006,2020,182,14,7,76.9231,32.967,43.956,38.4615,5.9722,20.6128,-0.0208,0.2331,21.0,0.1576,0.0621,46.458,demo_synthetic
F0006,2021,175,8,5,45.7143,22.8571,22.8571,28.5714,9.6633,21.1387,0.0287,0.4344,25.0,-0.0439,0.0761,52.272,demo_synthetic
F0006,2022,178,10,4,56.1798,5.618,50.5618,22.4719,9.7683,21.7715,0.0906,0.6378,20.0,-0.0995,0.0493,51.435,demo_synthetic
F0006,2023,181,13,4,71.8232,38.674,33.1492,22.0994,10.1652,22.4335,0.0414,0.2633,7.0,0.1918,0.032,53.724,demo_synthetic
F0007,2019,180,9,9,50.0,22.2222,27.7778,50.0,10.2257,21.3226,0.0284,0.388,21.0,-0.0298,-0.0382,30.947,demo_synthetic
F0007,2020,178,2,7,11.236,0.0,11.236,39.3258,16.6997,22.9447,0.022,0.5439,8.0,-0.1743,0.0631,29.277,demo_synthetic
F0007,2021,177,6,7,33.8983,5.6497,28.2486,39.548,10.025,20.7323,-0.0158,0.4906,10.0,-0.2232,0.0454,36.93,demo_synthetic
F0007,2022,178,7,7,39.3258,16.8539,22.4719,39.3258,13.6626,22.8955,0.0241,0.5063,16.0,0.1836,0.0625,33.509,demo_synthetic
F0007,2023,183,9,11,49.1803,21.8579,27.3224,60.1093,8.2454,18.8846,0.1088,0.7285,22.0,0.28,0.0088,37.914,demo_synthetic
F0008,2019,179,5,4,27.933,11.1732,16.7598,22.3464,13.363,22.2796,0.0155,0.7664,19.0,-0.0271,0.0323,32.083,demo_synthetic
F0008,2020,180,4,8,22.2222,16.6667,5.5556,44.4444,14.2881,20.6928,0.0091,0.6138,7.0,-0.0799,0.1054,30.459,demo_synthetic
F0008,2021,187,8,11,42.7807,16.0428,26.738,58.8235,10.5142,23.5483,-0.0292,0.7954,24.0,0.1238,0.111,34.649,demo_synthetic
F0008,2022,184,6,8,32.6087,27.1739,5.4348,43.4783,10.5536,21.7482,0.0541,0.3262,23.0,0.1596,0.0854,33.515,demo_synthetic
F0008,2023,189,7,10,37.037,21.164,15.873,52.9101,15.8026,23.3362,0.0829,0.4801,3.0,0.3169,0.0044,33.096,demo_synthetic
F0009,2019,192,1,10,5.2083,0.0,5.2083,52.0833,16.1057,20.9648,0.0584,0.2606,7.0,0.0774,-0.0159,4.1,demo_synthetic
F0009,2020,187,1,9,5.3476,5.3476,0.0,48.1283,16.6606,23.4119,0.0258,0.5165,17.0,0.1106,0.0201,7.517,demo_synthetic
F0009,2021,191,4,7,20.9424,15.7068,5.2356,36.6492,14.3442,18.9516,-0.046,0.26,20.0,0.1936,0.0626,14.986,demo_synthetic
F0009,2022,189,1,14,5.291,5.291,0.0,74.0741,15.6896,22.7146,0.0373,0.8996,15.0,-0.2374,0.0313,12.23,demo_synthetic
F0009,2023,191,3,12,15.7068,0.0,15.7068,62.8272,12.8537,22.8286,0.037,0.6316,4.0,-0.0873,0.1016,8.71,demo_synthetic
F0010,2019,185,9,6,48.6486,10.8108,37.8378,32.4324,11.8267,22.9146,0.0079,0.654,15.0,0.39,-0.0042,56.316,demo_synthetic
F0010,2020,184,6,3,32.6087,27.1739,5.4348,16.3043,12.1211,21.6801,0.0729,0.6445,25.0,0.1864,0.0248,52.662,demo_synthetic
F0010,2021,185,8,3,43.2432,16.2162,27.027,16.2162,13.9186,24.9467,0.0477,0.5899,9.0,0.3017,0.089,53.897,demo_synthetic
F0010,2022,183,8,5,43.7158,38.2514,5.4645,27.3224,10.5698,22.5002,0.0007,0.5682,22.0,-0.1483,-0.0267,57.007,demo_synthetic
F0010,2023,191,10,4,52.356,41.8848,10.4712,20.9424,12.6645,21.7778,0.0329,0.0919,1.0,0.4716,0.0038,46.056,demo_synthetic
F0011,2019,189,5,9,26.455,15.873,10.582,47.619,12.734,22.0433,0.0011,0.487,17.0,0.4109,-0.0025,22.431,demo_synthetic
F0011,2020,187,2,11,10.6952,5.3476,5.3476,58.8235,15.1537,20.3196,0.0592,0.7019,2.0,0.1403,0.0702,20.285,demo_synthetic
F0011,2021,185,4,10,21.6216,0.0,21.6216,54.0541,11.6232,22.2237,0.0135,0.7381,12.0,0.0897,0.0843,24.802,demo_synthetic
F0011,2022,188,3,14,15.9574,15.9574,0.0,74.4681,16.3163,23.1245,0.0476,0.3727,6.0,0.1077,0.0872,22.976,demo_synthetic
F0011,2023,184,2,7,10.8696,10.8696,0.0,38.0435,15.7082,21.9267,0.0616,0.5702,11.0,0.1691,0.0135,31.454,demo_synthetic
F0012,2019,184,6,9,32.6087,10.8696,21.7391,48.913,13.936,22.4735,0.09,0.5215,21.0,0.307,-0.0379,22.585,demo_synthetic
F0012,2020,185,2,10,10.8108,5.4054,5.4054,54.0541,16.618,23.1617,0.0711,0.32,21.0,0.0335,0.0765,17.676,demo_synthetic
F0012,2021,182,3,11,16.4835,0.0,16.4835,60.4396,14.9012,21.4866,0.0353,0.1158,25.0,-0.0874,0.0688,23.635,demo_synthetic
F0012,2022,183,4,7,21.8579,0.0,21.8579,38.2514,13.6074,22.5425,0.0361,0.5373,2.0,0.2467,0.0948,16.688,demo_synthetic
F0012,2023,182,2,12,10.989,0.0,10.989,65.9341,14.8074,22.1839,0.0359,0.1848,1.0,-0.243,-0.0251,16.715,demo_synthetic
F0013,2019,183,2,13,10.929,5.4645,5.4645,71.0383,15.4442,23.0118,0.0372,0.5675,13.0,-0.0163,0.036,15.253,demo_synthetic
F0013,2020,184,0,14,0.0,0.0,0.0,76.087,16.3909,22.0039,0.0814,0.4679,11.0,0.1405,0.0572,7.122,demo_synthetic
F0013,2021,177,0,12,0.0,0.0,0.0,67.7966,15.0676,21.8522,0.0369,0.1828,18.0,-0.0605,0.0852,4.148,demo_synthetic
F0013,2022,187,2,9,10.6952,5.3476,5.3476,48.1283,15.3864,22.6226,0.0556,0.4157,17.0,0.3927,0.1591,8.826,demo_synthetic
F0013,2023,183,1,11,5.4645,5.4645,0.0,60.1093,16.3889,20.4557,0.0017,0.1156,20.0,0.3919,-0.0097,4.253,demo_synthetic
F0014,2019,178,6,4,33.7079,16.8539,16.8539,22.4719,11.9788,21.3426,0.019,0.2503,5.0,0.0668,-0.0244,36.459,demo_synthetic
F0014,2020,184,9,6,48.913,21.7391,27.1739,32.6087,11.3566,22.5936,0.0479,0.3151,20.0,-0.03,0.0286,41.017,demo_synthetic
F0014,2021,180,3,10,16.6667,11.1111,5.5556,55.5556,15.1074,23.9039,-0.0053,0.4725,14.0,0.117,0.0194,40.014,demo_synthetic
F0014,2022,185,9,4,48.6486,21.6216,27.027,21.6216,7.9047,20.9246,0.0097,0.668,10.0,0.1258,0.1205,41.707,demo_synthetic
F0014,2023,188,9,5,47.8723,42.5532,5.3191,26.5957,12.2045,21.196,0.0492,0.2138,7.0,0.0979,0.0713,32.54,demo_synthetic
F0015,2019,186,9,6,48.3871,32.2581,16.129,32.2581,9.288,21.7464,-0.0143,0.8427,10.0,0.328,-0.0019,36.853,demo_synthetic
F0015,2020,189,7,8,37.037,15.873,21.164,42.328,12.0074,21.997,0.0806,0.3976,21.0,-0.065,0.0049,34.441,demo_synthetic
F0015,2021,179,7,6,39.1061,11.1732,27.933,33.5196,12.8136,22.853,-0.0306,0.3027,4.0,-0.0156,-0.0205,44.213,demo_synthetic
F0015,2022,187,10,9,53.4759,32.0856,21.3904,48.1283,8.1408,21.6508,0.0236,0.6982,20.0,-0.0119,0.0544,44.902,demo_synthetic
F0015,2023,184,11,7,59.7826,43.4783,16.3043,38.0435,9.5338,21.2605,0.0174,0.5237,12.0,0.1244,0.1394,42.453,demo_synthetic
F0016,2019,188,9,3,47.8723,15.9574,31.9149,15.9574,12.0636,23.388,0.0875,0.551,16.0,0.1081,-0.0059,50.062,demo_synthetic
F0016,2020,183,10,4,54.6448,32.7869,21.8579,21.8579,9.9999,21.5391,0.0701,0.788,11.0,0.2889,0.0754,42.24,demo_synthetic
F0016,2021,181,8,6,44.1989,33.1492,11.0497,33.1492,15.0141,23.2724,0.1432,0.493,3.0,0.3121,0.0252,42.568,demo_synthetic
F0016,2022,182,8,8,43.956,38.4615,5.4945,43.956,13.127,23.1272,0.084,0.6278,5.0,0.2437,0.1291,49.318,demo_synthetic
F0016,2023,188,13,7,69.1489,31.9149,37.234,37.234,6.852,22.7866,-0.0272,0.4989,8.0,-0.1793,0.1026,55.705,demo_synthetic
F0017,2019,184,4,10,21.7391,21.7391,0.0,54.3478,13.177,21.0456,0.064,0.48,14.0,-0.0972,-0.0796,31.657,demo_synthetic
F0017,2020,185,7,9,37.8378,5.4054,32.4324,48.6486,11.6932,20.5621,0.0441,0.3805,13.0,0.3262,0.0496,28.474,demo_synthetic
F0017,2021,183,9,8,49.1803,21.8579,27.3224,43.7158,7.3785,21.8863,-0.0226,0.5621,8.0,0.0593,0.028,38.63,demo_synthetic
F0017,2022,184,11,5,59.7826,21.7391,38.0435,27.1739,8.1105,21.249,0.0195,0.5219,20.0,0.0531,0.1005,43.599,demo_synthetic
F0017,2023,184,6,10,32.6087,16.3043,16.3043,54.3478,13.1528,22.9078,0.0638,0.3062,13.0,0.1641,-0.0208,30.305,demo_synthetic
F0018,2019,186,7,11,37.6344,21.5054,16.129,59.1398,11.2185,22.4409,0.0406,0.1671,18.0,0.0976,0.085,31.545,demo_synthetic
F0018,2020,188,8,6,42.5532,21.2766,21.2766,31.9149,11.4023,20.8894,0.0821,0.4923,25.0,0.1881,0.0147,41.139,demo_synthetic
F0018,2021,190,12,5,63.1579,21.0526,42.1053,26.3158,7.4807,20.4819,-0.0377,0.4664,19.0,0.0058,-0.0198,51.46,demo_synthetic
F0018,2022,188,8,10,42.5532,21.2766,21.2766,53.1915,8.6943,20.9825,-0.0078,0.7145,10.0,-0.1186,-0.0376,36.252,demo_synthetic
F0018,2023,191,11,4,57.5916,36.6492,20.9424,20.9424,10.493,23.9923,0.0777,0.4144,2.0,0.4158,0.068,45.232,demo_synthetic
F0019,2019,183,2,5,10.929,0.0,10.929,27.3224,12.1337,20.2547,-0.0154,0.3019,3.0,-0.0648,0.0069,14.32,demo_synthetic
F0019,2020,186,0,8,0.0,0.0,0.0,43.0108,17.8204,22.5374,0.0729,0.2547,11.0,0.3367,0.1324,4.0,demo_synthetic
F0019,2021,184,2,10,10.8696,5.4348,5.4348,54.3478,18.4319,21.7688,0.0498,0.1865,6.0,0.3269,0.0393,11.984,demo_synthetic
F0019,2022,189,3,11,15.873,10.582,5.291,58.2011,14.0332,21.4527,0.0671,0.387,5.0,0.3463,0.0848,11.581,demo_synthetic
F0019,2023,186,0,12,0.0,0.0,0.0,64.5161,16.047,23.4755,0.093,0.6476,23.0,0.1171,0.1003,4.0,demo_synthetic
F0020,2019,183,2,7,10.929,10.929,0.0,38.2514,14.7272,19.3344,-0.0011,0.3332,4.0,0.2582,0.033,27.037,demo_synthetic
F0020,2020,182,4,8,21.978,10.989,10.989,43.956,13.5198,22.0086,-0.0115,0.7586,18.0,-0.065,0.0677,21.598,demo_synthetic
F0020,2021,183,8,6,43.7158,10.929,32.7869,32.7869,12.6862,22.6669,0.0805,0.3538,24.0,0.1195,0.054,32.381,demo_synthetic
F0020,2022,181,9,6,49.7238,22.0994,27.6243,33.1492,10.4563,22.1581,0.068,0.7153,23.0,-0.1008,0.04,36.53,demo_synthetic
F0020,2023,183,7,11,38.2514,10.929,27.3224,60.1093,12.4343,22.5,0.0978,0.7032,14.0,-0.0675,0.0851,32.106,demo_synthetic
F0021,2019,182,7,4,38.4615,32.967,5.4945,21.978,12.8205,22.211,0.0652,0.4457,2.0,0.011,0.0374,37.746,demo_synthetic
F0021,2020,188,5,8,26.5957,21.2766,5.3191,42.5532,12.4412,19.2473,0.0235,0.3645,1.0,-0.0641,-0.0709,26.255,demo_synthetic
F0021,2021,184,6,8,32.6087,27.1739,5.4348,43.4783,12.5194,21.1214,0.0775,0.4007,25.0,0.027,0.016,32.76,demo_synthetic
F0021,2022,180,9,3,50.0,27.7778,22.2222,16.6667,10.2291,22.2527,0.0509,0.5702,1.0,0.1479,0.0483,46.222,demo_synthetic
F0021,2023,182,6,11,32.967,16.4835,16.4835,60.4396,12.961,20.9991,0.026,0.1368,14.0,0.1119,0.0934,28.812,demo_synthetic
F0022,2019,188,8,9,42.5532,10.6383,31.9149,47.8723,13.0924,23.0702,0.0472,0.5957,11.0,0.3422,-0.0229,27.899,demo_synthetic
F0022,2020,186,5,11,26.8817,21.5054,5.3763,59.1398,13.013,23.5706,-0.0024,0.5398,19.0,0.1098,0.0365,29.234,demo_synthetic
F0022,2021,187,3,7,16.0428,16.0428,0.0,37.4332,13.6433,23.3441,0.0572,0.4115,17.0,-0.0276,0.0671,27.956,demo_synthetic
F0022,2022,183,4,9,21.8579,10.929,10.929,49.1803,14.9681,22.3866,0.1076,0.1559,16.0,0.2534,0.051,19.594,demo_synthetic
F0022,2023,187,8,8,42.7807,26.738,16.0428,42.7807,12.4453,22.3446,0.0196,0.3423,8.0,0.1073,0.0176,31.256,demo_synthetic
F0023,2019,187,10,7,53.4759,32.0856,21.3904,37.4332,6.8589,19.0952,0.0879,0.579,5.0,0.1457,0.0613,42.727,demo_synthetic
F0023,2020,189,6,7,31.746,10.582,21.164,37.037,14.4809,22.7943,0.0354,0.6598,9.0,-0.1268,0.0122,43.874,demo_synthetic
F0023,2021,183,9,4,49.1803,21.8579,27.3224,21.8579,9.567,22.3106,0.0162,0.5549,25.0,0.0153,-0.0471,38.356,demo_synthetic
F0023,2022,189,9,8,47.619,26.455,21.164,42.328,11.5132,21.5799,0.0582,0.3962,15.0,0.1256,-0.025,48.827,demo_synthetic
F0023,2023,189,9,4,47.619,31.746,15.873,21.164,10.7983,22.3523,0.0382,0.6129,11.0,0.0957,0.059,47.654,demo_synthetic
F0024,2019,189,1,12,5.291,5.291,0.0,63.4921,16.6267,23.5948,0.0283,0.5259,8.0,0.0078,0.0701,6.762,demo_synthetic
F0024,2020,187,4,9,21.3904,16.0428,5.3476,48.1283,15.1874,23.2198,-0.0201,0.2627,18.0,-0.2151,0.13,14.052,demo_synthetic
F0024,2021,191,2,10,10.4712,10.4712,0.0,52.356,15.1532,22.8519,0.0547,0.2049,13.0,-0.3594,0.0753,5.293,demo_synthetic
F0024,2022,188,4,9,21.2766,5.3191,15.9574,47.8723,17.4866,23.5384,0.0339,0.2254,7.0,0.4772,0.0497,11.173,demo_synthetic
F0024,2023,191,1,7,5.2356,0.0,5.2356,36.6492,16.7711,22.5758,0.1099,0.3876,16.0,-0.3388,0.0497,6.027,demo_synthetic
F0025,2019,184,10,6,54.3478,27.1739,27.1739,32.6087,11.9356,23.5165,0.0552,0.05,13.0,0.4436,-0.0568,48.213,demo_synthetic
F0025,2020,187,10,4,53.4759,26.738,26.738,21.3904,10.2901,21.2132,0.072,0.56,25.0,0.265,0.1226,47.197,demo_synthetic
F0025,2021,188,11,10,58.5106,31.9149,26.5957,53.1915,10.3742,21.4416,-0.0221,0.2415,4.0,0.353,0.0773,45.75,demo_synthetic
F0025,2022,186,7,3,37.6344,21.5054,16.129,16.129,11.2673,19.7561,0.0229,0.4051,24.0,0.126,0.0957,50.136,demo_synthetic
F0025,2023,188,9,7,47.8723,26.5957,21.2766,37.234,11.0172,22.1129,0.0609,0.6477,25.0,0.0504,-0.0538,41.407,demo_synthetic
F0026,2019,178,3,11,16.8539,11.236,5.618,61.7978,14.2562,21.9936,-0.0245,0.05,9.0,0.3033,-0.0462,26.633,demo_synthetic
F0026,2020,186,4,11,21.5054,16.129,5.3763,59.1398,13.0397,24.2051,0.0171,0.3704,25.0,0.2016,0.0455,25.554,demo_synthetic
F0026,2021,181,5,6,27.6243,11.0497,16.5746,33.1492,14.4743,23.105,-0.0157,0.261,6.0,0.0449,0.0349,22.901,demo_synthetic
F0026,2022,185,8,9,43.2432,37.8378,5.4054,48.6486,9.2117,21.1345,0.0941,0.5708,17.0,0.4047,0.0232,28.205,demo_synthetic
F0026,2023,179,7,8,39.1061,22.3464,16.7598,44.6927,10.4836,23.6545,0.1053,0.4778,22.0,-0.0282,0.122,37.821,demo_synthetic
F0027,2019,182,1,8,5.4945,5.4945,0.0,43.956,17.7537,22.7427,0.0689,0.3628,11.0,0.3894,0.0755,18.22,demo_synthetic
F0027,2020,181,2,8,11.0497,0.0,11.0497,44.1989,14.8581,21.3574,0.1265,0.5646,9.0,0.3295,0.1374,11.142,demo_synthetic
F0027,2021,180,2,9,11.1111,5.5556,5.5556,50.0,16.1084,23.5353,0.0177,0.3521,12.0,0.1198,0.0251,12.054,demo_synthetic
F0027,2022,178,4,13,22.4719,11.236,11.236,73.0337,14.7346,22.6338,0.0337,0.3976,25.0,-0.1341,0.0382,13.158,demo_synthetic
F0027,2023,182,6,13,32.967,16.4835,16.4835,71.4286,13.6038,22.5788,-0.0007,0.6371,13.0,0.3911,0.075,23.749,demo_synthetic
F0028,2019,179,5,9,27.933,16.7598,11.1732,50.2793,16.2599,24.3676,0.0486,0.679,12.0,0.1635,0.0816,26.098,demo_synthetic
F0028,2020,180,4,8,22.2222,0.0,22.2222,44.4444,15.2623,22.778,0.0457,0.5864,3.0,0.5461,0.03,22.867,demo_synthetic
F0028,2021,178,3,5,16.8539,11.236,5.618,28.0899,15.2139,20.1985,0.0474,0.6108,10.0,0.3937,0.101,21.738,demo_synthetic
F0028,2022,185,5,11,27.027,0.0,27.027,59.4595,12.7089,21.5792,0.035,0.6439,19.0,-0.2837,-0.0122,23.838,demo_synthetic
F0028,2023,179,4,14,22.3464,11.1732,11.1732,78.2123,13.3127,21.0165,0.0228,0.5377,9.0,0.0812,-0.0108,18.646,demo_synthetic
F0029,2019,186,10,7,53.7634,32.2581,21.5054,37.6344,11.8842,24.929,0.1041,0.4226,18.0,0.0061,0.007,46.705,demo_synthetic
F0029,2020,179,7,7,39.1061,11.1732,27.933,39.1061,11.5117,21.26,0.0596,0.3771,9.0,0.1301,0.0443,45.108,demo_synthetic
F0029,2021,180,7,4,38.8889,27.7778,11.1111,22.2222,11.0731,22.0248,0.0739,0.57,19.0,-0.2523,0.0245,41.204,demo_synthetic
F0029,2022,181,14,4,77.3481,38.674,38.674,22.0994,7.7484,20.5576,0.0703,0.3577,21.0,0.3891,0.0406,46.574,demo_synthetic
F0029,2023,180,9,7,50.0,27.7778,22.2222,38.8889,9.8337,24.8221,0.0879,0.5029,25.0,-0.0263,0.0409,40.982,demo_synthetic
F0030,2019,182,6,6,32.967,10.989,21.978,32.967,12.5434,22.5496,0.0056,0.5,8.0,0.0334,0.0451,41.208,demo_synthetic
F0030,2020,181,5,6,27.6243,16.5746,11.0497,33.1492,13.3408,23.4781,0.0574,0.8266,19.0,0.2106,0.0648,37.698,demo_synthetic
F0030,2021,183,12,2,65.5738,38.2514,27.3224,10.929,7.6587,22.6028,-0.011,0.313,2.0,-0.1852,0.0824,50.719,demo_synthetic
F0030,2022,177,11,4,62.1469,33.8983,28.2486,22.5989,8.5714,21.0534,-0.0767,0.3487,15.0,0.1184,0.0098,60.116,demo_synthetic
F0030,2023,186,10,6,53.7634,43.0108,10.7527,32.2581,12.4549,22.525,0.0835,0.4266,19.0,0.3269,0.0954,45.828,demo_synthetic
F0031,2019,180,8,6,44.4444,22.2222,22.2222,33.3333,10.8255,21.859,0.0035,0.2228,3.0,0.5968,-0.0117,49.671,demo_synthetic
F0031,2020,184,15,2,81.5217,38.0435,43.4783,10.8696,4.4687,20.3827,0.049,0.3906,10.0,0.1489,0.0873,50.243,demo_synthetic
F0031,2021,179,9,6,50.2793,16.7598,33.5196,33.5196,11.4718,20.2968,0.0626,0.6733,19.0,0.0764,0.0564,56.287,demo_synthetic
F0031,2022,183,10,4,54.6448,21.8579,32.7869,21.8579,12.1526,22.0428,0.0248,0.3972,1.0,-0.0871,0.0362,54.115,demo_synthetic
F0031,2023,183,6,7,32.7869,16.3934,16.3934,38.2514,9.8288,22.9696,0.0299,0.7263,18.0,-0.0339,-0.0015,40.096,demo_synthetic
F0032,2019,188,2,8,10.6383,0.0,10.6383,42.5532,12.6172,20.6462,0.0362,0.6597,25.0,0.0444,-0.0204,12.244,demo_synthetic
F0032,2020,185,4,10,21.6216,5.4054,16.2162,54.0541,11.1689,23.6205,-0.027,0.6994,21.0,-0.1374,0.0414,14.645,demo_synthetic
F0032,2021,185,2,10,10.8108,0.0,10.8108,54.0541,13.7169,22.1542,-0.0065,0.4109,18.0,-0.0622,0.0264,12.649,demo_synthetic
F0032,2022,186,3,8,16.129,0.0,16.129,43.0108,14.8418,21.6,0.0774,0.5297,20.0,0.1769,0.0143,14.779,demo_synthetic
F0032,2023,187,1,12,5.3476,5.3476,0.0,64.1711,15.3196,22.0311,-0.0413,0.4025,10.0,0.4964,-0.0121,5.05,demo_synthetic
F0033,2019,186,8,6,43.0108,32.2581,10.7527,32.2581,9.9318,21.4293,0.0228,0.4892,5.0,-0.1486,-0.0121,39.932,demo_synthetic
F0033,2020,182,7,7,38.4615,16.4835,21.978,38.4615,10.9303,21.2316,-0.0872,0.1266,15.0,0.124,0.0337,43.795,demo_synthetic
F0033,2021,185,10,7,54.0541,32.4324,21.6216,37.8378,7.0697,20.1263,0.0457,0.6868,20.0,0.3743,-0.0282,41.604,demo_synthetic
F0033,2022,182,9,7,49.4505,27.4725,21.978,38.4615,11.8962,21.8751,0.1089,0.3174,25.0,0.2348,0.1093,44.003,demo_synthetic
F0033,2023,183,8,4,43.7158,5.4645,38.2514,21.8579,11.9352,22.5506,0.031,0.0948,6.0,0.2714,0.043,49.266,demo_synthetic
F0034,2019,184,9,9,48.913,38.0435,10.8696,48.913,11.5139,19.9464,0.1132,0.4223,18.0,-0.0158,0.0849,35.42,demo_synthetic
F0034,2020,181,10,7,55.2486,38.674,16.5746,38.674,8.027,19.9528,0.0432,0.6179,25.0,0.2221,-0.0092,45.305,demo_synthetic
F0034,2021,184,5,9,27.1739,21.7391,5.4348,48.913,14.4336,23.5027,0.0528,0.2995,16.0,0.2063,0.1021,30.974,demo_synthetic
F0034,2022,182,4,8,21.978,21.978,0.0,43.956,9.9236,20.1531,0.0393,0.5114,14.0,0.0965,0.0946,34.675,demo_synthetic
F0034,2023,177,5,6,28.2486,28.2486,0.0,33.8983,13.6516,21.9253,0.0163,0.4403,10.0,0.0045,0.0244,33.65,demo_synthetic
F0035,2019,181,4,11,22.0994,16.5746,5.5249,60.7735,15.8566,21.9109,0.0704,0.2475,11.0,0.0924,-0.0274,34.824,demo_synthetic
F0035,2020,183,7,6,38.2514,21.8579,16.3934,32.7869,10.8254,22.0788,0.0618,0.6443,24.0,0.0886,-0.0742,39.041,demo_synthetic
F0035,2021,184,8,4,43.4783,38.0435,5.4348,21.7391,14.4552,22.9091,0.0634,0.3354,11.0,0.0544,0.0604,40.158,demo_synthetic
F0035,2022,180,8,5,44.4444,22.2222,22.2222,27.7778,10.7523,20.9229,0.0248,0.297,4.0,0.2457,0.0739,43.258,demo_synthetic
F0035,2023,188,11,8,58.5106,21.2766,37.234,42.5532,6.3657,21.6059,-0.0348,0.3734,23.0,-0.1904,0.0569,34.568,demo_synthetic
F0036,2019,183,4,9,21.8579,16.3934,5.4645,49.1803,13.1446,20.9579,0.0438,0.4004,15.0,-0.0535,0.0384,31.415,demo_synthetic
F0036,2020,185,6,8,32.4324,21.6216,10.8108,43.2432,13.8754,22.6341,0.0442,0.217,23.0,0.795,0.0622,35.693,demo_synthetic
